location,timeframe,temperature,humid,precipitate
"Khammam, Telangana",2021-04-30 01:44:16.427446,25°,85%,2%
"Khammam, Telangana",2021-04-30 01:44:18.692692,25°,85%,2%
"Khammam, Telangana",2021-04-30 01:44:20.924382,25°,85%,2%
"Khammam, Telangana",2021-04-30 01:44:23.220693,25°,85%,2%
"Khammam, Telangana",2021-04-30 01:44:25.472821,25°,85%,2%
